RUN,TP,CODE,DYNAMIC PRESSURE,TEMP TS,BALANCE TEMP,PRESS TS,N1,N2,S1,S2,A1,R1,Lift (lbf),Drag (lbf),Pitch (in-lbf),Yaw (in-lbf),Side (lbf),Roll (in-lbf),Length,Flap Angle,FCY/N,DC/SC
1,1,1,0.0,0.0,0.0,0.0,0.128396,0.156801,-0.075407,0.116745,7.139657,0.007298,-47.72026,173.497327,7.47553,40.857997,-5.879317,0,4.0,35,N,DC
1,2,0,39.971906,74.392123,4178.427784,14.543025,-0.000261,0.000334,-0.0003,0.000261,0.030627,-0.000353,-0.014103,0.745635,0.135849,0.117022,0.004434,0,4.0,35,N,DC
1,3,0,45.232932,79.544197,4178.356831,14.498498,-0.000627,0.000361,-0.000627,0.000503,0.032825,-0.000396,0.040377,0.79935,0.23073,0.234118,0.013638,0,4.0,35,N,DC
1,4,0,49.874049,80.596563,4178.281637,14.458178,-0.000751,0.000287,-0.000397,0.000381,0.034902,-0.000472,0.073595,0.850141,0.23779,0.160006,-0.003898,0,4.0,35,N,DC
1,1,1,0.0,0.0,0.0,0.0,0.12877,0.156715,-0.075079,0.11667,7.140431,0.006995,-47.767232,173.515927,7.364501,40.776829,-5.917795,0,4.0,35,N,DC
1,2,0,40.096291,78.015149,4176.865383,14.549166,-0.0008,0.000399,-0.000355,0.000293,0.028905,-0.000413,0.063939,0.703958,0.276735,0.13039,0.004821,0,4.0,35,N,DC
1,3,0,45.000718,79.215815,4176.843433,14.511609,-0.001058,0.00047,-0.000317,0.000295,0.031185,-0.000422,0.094521,0.759527,0.35212,0.120673,-0.002891,0,4.0,35,N,DC
1,4,0,50.174905,79.979221,4176.835781,14.472999,-0.001176,0.00047,-0.000564,0.000458,0.03428,-0.000484,0.11294,0.834997,0.381995,0.206285,0.008383,0,4.0,35,N,DC
1,1,1,0.0,0.0,0.0,0.0,0.128592,0.156803,-0.075306,0.1167,7.138316,0.007079,-47.75254,173.464501,7.430026,40.828535,-5.886652,0,4.0,35,Y,DC
1,2,0,40.078813,77.499506,4177.080332,14.533158,-0.000672,0.00033,-0.000291,0.000305,0.036368,0.000669,0.053996,0.885728,0.227796,0.122182,-0.007432,0,4.0,35,Y,DC
1,3,0,45.314145,78.610542,4177.095999,14.494519,-0.000868,0.000344,-0.000237,0.000254,0.040566,0.000735,0.083955,0.988128,0.274031,0.098925,-0.008558,0,4.0,35,Y,DC
1,4,0,49.901305,79.186515,4177.109227,14.458374,-0.001029,0.000365,-0.000297,0.000291,0.044192,0.000845,0.10669,1.076557,0.31594,0.118518,-0.006066,0,4.0,35,Y,DC
1,1,1,0.0,0.0,0.0,0.0,0.128473,0.157383,-0.074347,0.116391,7.146516,0.00653,-47.826972,173.662982,7.582922,40.55612,-5.985911,0,4.0,35,Y,SC
1,2,0,40.081186,73.227244,4174.786652,14.539926,-9.8e-05,-0.000339,-0.000351,0.000291,0.035112,0.000896,0.069515,0.85595,-0.064738,0.142191,0.003663,0,4.0,35,Y,SC
1,3,0,45.135607,75.313819,4174.627966,14.501551,-0.00032,-0.000408,-0.000406,0.00028,0.038578,0.00101,0.11734,0.940727,-0.030872,0.150891,0.012406,0,4.0,35,Y,SC
